tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N12221,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12225,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12238,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N122US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N123UW,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N124US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12540,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12552,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12563,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12564,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N12569,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N125UW,2009,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N126UW,2009,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N127UW,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N128UW,2010,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N12900,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13110,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N13113,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N13118,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13123,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13124,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13132,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13133,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13138,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N13161,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N131EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13202,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N13248,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N132EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N133EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N134EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13538,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N135EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N136EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13716,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N13718,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N13750,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N137EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N138EV,2009,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N13903,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13908,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13913,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13949,1998,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13964,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13965,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13975,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13978,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13979,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13988,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13989,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13992,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13995,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14102,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14105,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14106,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14107,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14115,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14116,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14117,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14118,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14120,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14121,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N14125,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14143,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14148,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14153,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14158,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14162,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14168,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14173,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14174,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14177,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14179,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14180,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14186,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14188,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14198,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14203,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14204,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14214,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14219,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14228,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14230,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14231,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14237,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14242,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14250,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N14542,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14558,NA,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14562,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14570,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14573,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N146PQ,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N14704,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N14731,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N147PQ,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N14902,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14904,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14905,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14916,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14959,1998,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14977,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14991,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14993,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N150UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N151UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N152DL,1990,NA,BOEING,767-3P6,2,290,NA,Turbo-fan
N152UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N153PQ,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N153UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N154DL,1991,NA,BOEING,767-3P6,2,290,NA,Turbo-fan
N154UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15555,NA,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15572,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15574,NA,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N155DL,1991,NA,BOEING,767-3P6,2,290,NA,Turbo-fan
N155UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N156DL,1991,NA,BOEING,767-3P6,2,290,NA,Turbo-fan
N156UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15710,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N15712,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N157UW,2013,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N15910,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15912,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15980,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15983,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15986,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N1602,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N1603,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N1604R,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N1605,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N16065,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N16112,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16147,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16149,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16151,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16170,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16178,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16183,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N161PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N161UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N16217,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N16234,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N162PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N162UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N163US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N16541,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16559,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16561,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16571,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N165US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N166PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N16701,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16703,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16709,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16713,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N16732,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N167US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N168AT,2016,NA,AIRTIME AIRCRAFT INC,CYGNET,1,2,NA,4 Cycle
N16911,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16976,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16981,1999,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16987,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N169DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N169UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N170PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N170US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N17104,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17105,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17108,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17115,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17122,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17126,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17128,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17133,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17138,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17139,2000,NA,BOEING,757-224,2,178,NA,Turbo-fan
N17146,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17159,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17169,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17185,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17196,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N171DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N171DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N171US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N17229,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17233,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17244,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N17245,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N172DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N172DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N172US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N173AT,2018,NA,AIRTIME AIRCRAFT INC,CYGNET,1,2,NA,4 Cycle
N173DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N173US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N174DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N174DZ,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N174US,NA,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N17560,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N175AT,NA,NA,AIRTIME AIRCRAFT INC,CYGNET,1,2,NA,4 Cycle
N175DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N175DZ,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N176DN,1990,NA,BOEING,767-332,2,330,NA,Turbo-fan
N176DZ,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N176PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N176UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N17719,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N17730,1999,NA,BOEING,737-724,2,149,NA,Turbo-fan
N177DN,1991,NA,BOEING,767-332,2,330,NA,Turbo-fan
N177DZ,1999,NA,BOEING,767-332,2,330,NA,Turbo-fan
N177US,NA,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N178DN,1991,NA,BOEING,767-332,2,330,NA,Turbo-fan
N178DZ,2000,NA,BOEING,767-332,2,330,NA,Turbo-fan
N178JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N178US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N17984,2000,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N179DN,1991,NA,BOEING,767-332,2,330,NA,Turbo-fan
N179JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N179UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N180DN,1992,NA,BOEING,767-332,2,330,NA,Turbo-fan
N180US,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N18101,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N18102,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N18112,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N18114,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N18119,1997,NA,BOEING,757-224,2,178,NA,Turbo-fan
N18120,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N181DN,1992,NA,BOEING,767-332,2,330,NA,Turbo-fan
N181PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N181UW,NA,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N18220,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N18223,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N18243,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N182DN,1992,NA,BOEING,767-332,2,330,NA,Turbo-fan
N182UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N183DN,1993,NA,BOEING,767-332,2,330,NA,Turbo-fan
N183JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N183UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N184AT,2016,NA,AIRTIME AIRCRAFT INC,CYGNET,1,2,NA,4 Cycle
N184DN,1993,NA,BOEING,767-332,2,330,NA,Turbo-fan
N184JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N184US,2002,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N18556,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N185DN,1995,NA,BOEING,767-332,2,330,NA,Turbo-fan
N185UW,2002,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N186DN,1995,NA,BOEING,767-332,2,330,NA,Turbo-fan
N186PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N186US,2002,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N187DN,1996,NA,BOEING,767-332,2,330,NA,Turbo-fan
N187JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N187PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N187US,2002,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N188DN,1996,NA,BOEING,767-332,2,330,NA,Turbo-fan
N188US,2002,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N189DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N189UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N190DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N190JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N190UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N19117,1996,NA,BOEING,757-224,2,178,NA,Turbo-fan
N19130,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N19136,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N19141,2000,NA,BOEING,757-224,2,178,NA,Turbo-fan
N191DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N191UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N192DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N192JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N192UW,2001,NA,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-fan
N193DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N193JB,2005,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N193UW,2008,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N194DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N194UW,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N195DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N195PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N195UW,2008,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N196DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N196UW,2009,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N197DN,1997,NA,BOEING,767-332,2,330,NA,Turbo-fan
N197JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N197PQ,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N197UW,2009,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N198DN,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N198JB,2006,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
